Fecha,Producción
Feb-21,1.107
Mar-21,1.05
Apr-21,810
May-21,616
Jun-21,1.052
Jul-21,1.209
Aug-21,915
sept-21,1.209
Oct-21,1.012
Nov-21,1.131
Dec-21,1.385
Jan-22,868
Feb-22,928
Mar-22,914
Apr-22,750
May-22,1.017
Jun-22,951
Jul-22,944
Aug-22,949
sept-22,834
Oct-22,888
Nov-22,1.06
Dec-22,981
Jan-23,868
Feb-23,1.025
Mar-23,799
Apr-23,566
May-23,806
Jun-23,956
Jul-23,947
Aug-23,872
sept-23,849
Oct-23,1.157
Nov-23,1.282
Dec-23,1.22
Jan-24,959
Feb-24,961
Mar-24,866
Apr-24,742
May-24,1.12
Jun-24,1.172
Jul-24,1.159
Aug-24,1.049
